1,27/07/2021,G,zeMXH1cdrS1dBMRCQICIQBzFTt8k8BGK9FUB8Figopi1CTM4PRCH2Rwooc2IdMeKX4hSZtX,0,97,Health
2,04/12/2020,A,Yrm8R11KRaMb4Nn0OFT1wwDOHvEwWA9RKwVBWq33MWNx0AhjiLtSq3oH9KvfXpdjHrxaHQH,1,70,Health
3,06/07/2021,F,Yf6rD8DfHFNlCFs3XZpFkQtAoPxGmmja6Cq3b66ztPCj3VZFhs4E2fkld1tEX5O8FOOm9Hn,0,48,Tourism
4,29/01/2019,E,QdA9sij73vlAiiQymHgqPUwq96VSfWgZUBwD7N3CVy83i5fFVqvWrRwGhLbUYdJlPAUtb8u,0,22,Education
5,30/06/2021,E,2yNrEj8oojjW3DYWEdo115O6RuvOI2x4HSMD4K88ynUvtnfnABf4VrisHNk1D29PeNjbiRq,1,88,Welfare
6,22/10/2018,C,UCFezMKR9O0NJ9u26utYOkEE0iYXWlWtLlQUF5odF92Hx5D1jI8cKwPjT7eIOEUVfPhAUUa,0,79,Plenum
7,09/10/2019,B,FORG5OArMR37mx7GXUVEQNil65FrFoJO3knRIPwydZhvaxOrE1Sncxcm5IAhBdsPnfawwVf,0,83,Health
8,24/07/2018,G,FCmrzB0kJSSIMjfti18CqC2iur7krXKw9T5s8PAEKZFCGCzeLgZVemyOF8of2RGjBgue2oG,0,72,Health
9,20/03/2021,C,MPtPg6FyJ7UYCTOxsOXkLEYMRssRIy1HC7yoHtgZe5Hy5fZ6Aahp6WRSN0stMoJL5Z4KVqH,0,85,Education
10,04/02/2022,E,5k7p2XawJu6wFcRgSstdNgyXwzuRIGymrZQopYXoZZniuAbuNlASUoP6yRN0vtMkIx2iAyG,1,65,Community
11,20/02/2020,G,YBeZLrmUXR1MjwsYzrcbagp81wqTvj0DXGo8wP7etmwlPXxIHLhAGj7PoHVOwcDRycBzmax,0,17,Sanitation
12,21/01/2020,D,0rCKxurWLgGdlBVFxW01evZvzM0XKeBWY13gbJZE45L7JseOBcVAAi95Akj5Wlc5sMJpvH4,1,82,Sports
13,05/01/2022,C,yD154OUGuFJMNDNLDEhX1evu5ve1VEzhR4qkeq1wQ7g9oMDLGoF7epsVQGwjGM8JoUPVC6k,0,43,Welfare
14,05/10/2018,G,EHldT30yfWmY4mNadGaOBMxWcHst871oKEEM0c9LVjjzgAyz0mfRdpiDtcuAy3lyXTsQ646,0,84,Community
15,12/05/2018,C,OLe4Epok95OeVoo2UfDhYCMTlCg6BoictVawDztWGKIgW7ekgGKW8khYD0TimuTlt91ttQW,1,32,Audit
16,18/08/2021,F,I5Iip1nlb1pxa0oR1fkbARecTAPoDKihyQgZCEEXXpCivRBdLX5OQdNQDtLQkFX79L3YXG9,0,98,Finance
17,27/10/2020,G,HHHBDaliSWrwTYwRpayOR7fo3Gz4f7NccRXziQhYA0DIau3XvEsz6TxpD8NADAWLXTlJVET,0,6,Health
18,07/01/2021,E,OCEGE2v2YD4ye6Fl4Xy3JtDhqjfvxfyY6aDpmepr7h5HeOeIGYDKBd9GTp4nSjuzd6aMFM0,1,37,Health
19,10/12/2020,C,cDJup5abQEFF8z4QPL2Hj241bsA3hf4NvYt7CCUwEb9zroiUiMOSZaQWrk1F1BDCOWh84oE,1,76,Health
20,31/08/2020,A,y9PkeI83C9y6N4o0kcvvjExvIwa2Z5tnvnBRHG5rp1Jn0cvoBdGM8B23w1relL42C7WMXgW,0,30,Finance
21,18/02/2022,F,WXDST6GfwX9nLctnmbylrWPostLDC9vsdRqSxI1hPQZU710oxJ5Gya7LtZaHMPTMkSz5kOV,0,69,Tourism
22,29/08/2020,D,yaAP67Tmv2aYdJ44JNkIoxW6RveaLsorgC3xFbutZLpfI9USMJi3RRFXacf0uSgMjjGX0TF,1,15,Audit
23,05/08/2019,C,qmpvTWzhwEFhY6xQAu6Lcdx0Z13p1HVmcR1FvY8bAnBmugXVXiQvOzIJ6hHJVx68MqJJ0NU,0,34,Finance
24,13/09/2017,B,XnYyT8a5tuOCAjMxgVZfkqbruYEUQjdEpXaClNNn359GCg25P8sjO1lmzR9iOAohlDs8dVE,1,88,Finance
25,04/12/2018,A,VkltYKwt1Cqy9JOr9Aut65jwURO8vhGq32O07vqRRocGIVBOPChuqXacjbncO9GC7UthSoE,0,27,Sports
26,07/11/2018,A,vOwz4ohat5radpj5NJUVfLJLOtrdgV64Erb6k9kAXlUdZqs9hR21LgZWq4Zyrjq6e3MkX8u,0,40,Community
27,25/08/2018,D,WorakzlDxkzTXYbCtiCqo7z3gnxgwvkZjTaHQiH4v4bFQiOR3wJgXO5ER2xGhiWDthCGu29,0,63,Welfare
28,30/07/2020,G,zh9RRXnEmfnBVNTQ1EgI1tntVM8MOWmBqgyioWK8CWyGhiXIEOG8cJhAilDawtx0tcYV3rQ,1,42,Sanitation
29,24/08/2019,G,4ENBANzZDG2tTYbKH8vgvNTeQUx9U83hlotmiPnjouEgLOh0R6hFxdYyPRdiDiQM73ajXr0,0,98,Welfare
30,28/06/2021,C,9gv5fNh8FD67Ct3QwlWW0ohIdSADkFT2uFMs1c7YKWHTkj9G39X2wtKdTUfvnPRigvy0RGQ,1,28,Sports
