1,68,106
2,26,19
3,75,83
4,38,88
5,14,70
6,31,92
7,62,70
8,15,59
9,38,54
10,40,69
11,94,121
12,19,28
13,25,106
14,62,66
15,49,30
16,67,121
17,87,7
18,84,107
19,74,37
20,51,60
21,63,61
22,45,76
23,63,129
24,69,91
25,63,96
26,96,44
27,31,67
28,90,27
29,37,31
30,26,44
31,33,37
32,55,101
33,24,52
34,40,40
35,37,19
36,30,43
37,12,96
38,43,122
39,83,99
40,26,78
41,64,21
42,60,35
43,73,49
44,71,82
45,100,85
46,83,110
47,27,110
48,47,13
49,39,26
50,45,89
51,76,1
52,41,61
53,40,9
54,36,7
55,85,48
56,13,114
57,21,53
58,28,12
59,25,11
60,71,126
61,97,15
62,93,27
63,61,36
64,54,50
65,16,11
66,51,40
67,24,82
68,92,27
69,62,89
70,62,110
71,63,42
72,25,15
73,50,82
74,16,83
75,28,38
76,57,52
77,58,14
78,43,72
79,46,97
80,98,103
81,71,31
82,94,130
83,12,9
84,68,12
85,86,112
86,12,23
87,79,126
88,69,75
89,38,75
90,32,26
91,66,127
92,57,42
93,13,28
94,46,128
95,60,35
96,35,29
97,93,60
98,17,3
99,14,96
100,95,112
101,29,125
102,85,113
103,84,62
104,73,34
105,12,74
106,75,67
107,56,61
108,67,44
109,87,10
110,68,70
111,64,87
112,96,31
113,18,14
114,19,13
115,27,47
116,82,61
117,84,55
118,60,90
119,98,109
120,72,110
121,46,65
122,39,103
123,31,51
124,49,31
125,39,56
126,20,28
127,92,79
128,70,19
129,11,14
130,12,51
131,72,129
132,89,9
133,81,100
134,25,47
135,31,116
136,20,94
137,77,111
138,86,86
139,47,95
140,23,4
141,86,10
142,32,125
143,63,76
144,31,120
145,11,127
146,85,69
147,13,2
148,52,1
149,32,79
150,14,73
151,41,36
152,66,128
153,90,88
154,92,32
155,92,101
156,68,119
157,85,119
158,86,88
159,58,118
160,69,35
161,94,105
162,39,78
163,10,19
164,56,110
165,44,77
166,95,119
167,84,62
168,100,56
169,27,78
170,15,11
171,91,20
172,48,39
173,71,117
174,18,29
175,46,94
176,100,76
177,20,37
178,33,15
179,68,55
180,63,45
181,41,64
182,98,2
183,97,106
184,23,71
185,56,109
186,75,25
187,80,107
188,67,105
189,86,10
190,62,53
191,65,2
192,57,125
193,51,83
194,33,11
195,30,27
196,93,60
197,41,17
198,72,50
199,84,54
200,25,71
201,32,23
202,28,4
203,32,8
204,15,31
205,78,73
206,35,128
207,41,75
208,65,28
209,41,92
210,84,120
211,40,27
212,41,48
213,62,55
214,10,67
215,28,32
216,32,42
217,36,128
218,76,66
219,31,63
220,23,81
221,91,73
222,62,89
223,60,5
224,82,108
225,71,117
226,42,70
227,82,58
228,44,57
229,34,46
230,31,110
231,73,14
232,76,64
233,15,27
234,45,130
235,97,4
236,96,22
237,76,45
238,29,22
239,97,112
240,76,5
241,90,25
242,25,35
243,73,35
244,24,30
245,70,128
246,19,102
247,70,80
248,20,48
249,52,48
250,25,42
251,92,125
252,26,41
253,79,35
254,41,7
255,14,42
256,31,97
257,91,19
258,48,119
259,46,47
260,52,70
261,10,61
262,71,87
263,29,30
264,11,125
265,98,73
266,97,98
267,84,113
268,27,88
269,56,101
270,56,119
271,14,72
272,34,72
273,25,118
274,29,93
275,60,95
276,75,42
277,60,3
278,50,104
279,29,28
280,28,128
281,58,62
282,57,2
283,73,90
284,99,12
285,54,47
286,68,37
287,100,64
288,90,104
289,71,25
290,55,50
291,11,94
292,98,101
293,66,123
294,37,57
295,39,90
296,64,112
297,67,47
298,56,37
299,85,87
300,25,76
301,32,81
302,15,84
303,69,117
304,41,65
305,90,39
306,21,10
307,98,129
308,95,37
309,55,80
310,55,102
311,96,77
312,32,93
313,32,7
314,55,27
315,77,50
316,12,53
317,40,29
318,53,55
319,62,50
320,10,49
321,84,12
322,87,52
323,85,69
324,97,57
325,54,65
326,72,130
327,34,87
328,40,49
329,91,127
330,92,111
331,33,97
332,53,128
333,41,119
334,10,2
335,16,47
336,44,112
337,98,5
338,38,54
339,36,88
340,10,2
341,95,15
342,95,26
343,31,69
344,27,48
345,65,14
346,17,101
347,49,128
348,16,126
349,87,68
350,20,98
351,29,14
352,20,10
353,45,20
354,13,84
355,37,8
356,75,3
357,26,11
358,70,59
359,59,75
360,36,121
